"","x"
"1","The Itchy & Scratchy & Poochie Show"
"2","Homie the Clown"
"3","Bart Gets an Elephant"
"4","Homer Goes to College"
"5","Bart’s Inner Child"
"6","Rosebud"
"7","Homer’s Enemy"
"8","Homer vs. the Eighteenth Amendment"
"9","A Milhouse Divided"
"10","Marge vs. the Monorail"
"11","You Only Move Twice"
"12","Homer Badman"
"13","Grade School Confidential"
"14","Realty Bites"
"15","Last Exit to Springfield"
"16","The Last Temptation of Homer"
"17","The Boy Who Knew Too Much"
"18","King-Size Homer"
"19","The Cartridge Family "
"20","Deep Space Homer"
"21","Homer at the Bat "
"22","Team Homer "
"23","Lisa’s Rival"
"24","All’s Fair in Oven War"
"25","Homer the Vigilante"
